trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
105	115	iid	right	2.055	3.917	left	16	-5.82	1	667	1	309	1362	2029	1560	0	183	3035		360.88
106	69	iid	left	-2.377	3.329	right	11	2.683	1	738	0	308	1192	1930	1564	0	358	2934		363.928
107	170	iid	right	2.263	4.205	right	18	3.056	1	751	0	309	1217	1968	1556	0	325	2973		366.877
108	174	iid	right	1.157	4.176	right	17	2.95	1	564	0	307	1369	1933	1567	0	183	2938		369.864
109	45	iid	left	-0.81	6.405	left	41	-10.068	-1	618	0	306	1242	1860	1556	0	300	2866		372.816
110	66	iid	left	-2.091	3.596	right	13	5.348	-1	270	0	307	1445	1715	1558	0	100	2720		375.696
111	182	iid	right	2.179	5.057	right	26	5.865	-1	567	0	307	1208	1775	1555	0	333	2780		378.429
112	165	iid	right	2.085	3.039	right	9	3.017	1	634	0	307	1291	1925	1577	0	275	2930		381.224
113	78	iid	left	-0.87	4.088	right	17	2.599	1	545	0	308	1436	1981	1548	0	100	2985		384.168
114	186	iid	right	1.917	5.864	right	35	11.991	1	739	1	308	1330	2069	1563	0	217	3074		387.167
115	177	iid	right	2.389	4.145	right	17	3.429	1	553	0	307	1443	1996	1548	0	92	3001		390.255
116	56	iid	left	-0.974	2.955	right	9	5.179	1	1055	0	308	1193	2248	1574	0	367	3252		393.27
117	152	iid	right	2.413	2.537	right	6	6.728	-1	898	0	308	1296	2194	1568	0	258	3199		396.536
118	82	iid	left	-0.915	5.411	right	29	4.576	1	425	0	308	1189	1614	1561	0	358	2620		399.75
119	68	iid	left	-1.071	3.23	right	10	4.659	-1	345	0	307	1308	1653	1562	0	242	2658		402.384
120	124	iid	right	1.906	4.326	left	19	-4.242	1	247	0	305	1501	1748	1557	0	42	2753		405.049
121	16	iid	left	-1.331	3.134	left	10	-7.001	-1	430	0	308	1390	1820	1562	0	158	2825		407.816
122	148	iid	right	0.971	6.212	left	39	-8.275	1	303	0	309	1460	1763	1572	0	100	2770		410.655
123	93	iid	left	-1.486	6.421	right	41	8.888	1	719	0	308	1237	1956	1568	0	317	2961		413.44
124	65	iid	left	-2.055	3.917	right	16	5.82	-1	296	0	308	1476	1772	1574	0	83	2777		416.415
125	60	iid	left	-0.889	3.379	right	11	3.456	-1	472	0	307	1419	1891	1549	0	117	2896		419.206
126	84	iid	left	-1.581	5.468	right	30	3.437	-1	507	0	308	1377	1884	1575	0	183	2890		422.117
127	67	iid	left	-1.011	3.712	right	14	2.576	1	608	0	307	1297	1905	1562	0	250	2910		425.018
128	125	iid	right	1.007	4.726	left	22	-7.396	1	425	0	308	1487	1912	1569	0	67	2917		427.942
129	132	iid	right	0.915	5.411	left	29	-4.576	1	590	0	309	1429	2019	1568	0	125	3025		430.873
130	9	iid	left	-1.71	2.788	left	8	-5.391	-1	617	1	308	1490	2107	1555	0	50	3113		433.912
131	18	iid	left	-1.853	3.209	left	10	-4.809	-1	568	1	305	1389	1957	1561	0	158	2962		437.031
132	55	iid	left	-1.076	2.085	right	4	4.474	1	678	0	308	1204	1882	1569	0	350	2888		440.007
133	75	iid	left	-1.007	4.726	right	22	7.396	-1	606	0	309	1311	1917	1573	0	250	2921		442.91
134	150	iid	right	1.672	2.125	right	5	3.182	1	560	0	309	1248	1808	1580	0	317	2813		445.846
135	104	iid	right	1.113	2.948	left	9	-2.555	1	548	0	308	1351	1899	1563	0	200	2904		448.673
136	135	iid	right	1.907	4.917	left	24	-2.755	1	386	1	307	1451	1837	1549	0	83	2842		451.592
137	137	iid	right	1.078	5.502	left	30	-5.305	-1	724	0	309	1261	1985	1567	0	292	2990		454.45
138	164	iid	right	2.465	3.163	right	10	5.991	1	645	0	306	1245	1890	1566	0	308	2896		457.449
139	76	iid	left	-1.794	4.732	right	22	6.096	1	369	0	307	1434	1803	1576	0	125	2809		460.359
140	79	iid	left	-2.149	4.637	right	22	6.019	1	527	0	305	1361	1888	1560	0	183	2894		463.179
141	197	iid	right	2.158	6.978	right	49	5.806	1	629	0	307	1240	1869	1566	0	308	2874		466.087
142	38	iid	left	-2.822	5.379	left	29	-8.417	-1	494	0	308	1508	2002	1564	0	42	3008		468.977
143	24	iid	left	-1.157	4.176	left	17	-2.95	-1	852	0	308	1326	2178	1564	0	225	3183		472.0
144	122	iid	right	1.283	4.911	left	24	-3.587	1	309	1	308	1471	1780	1568	0	83	2785		475.198
145	195	iid	right	0.81	6.405	right	41	10.068	1	571	0	306	1231	1802	1563	0	317	2807		477.993
146	29	iid	left	-1.621	4.376	left	19	-14.001	-1	328	0	306	1484	1812	1562	0	67	2817		480.815
147	19	iid	left	-1.394	3.481	left	12	-5.649	-1	435	0	308	1470	1905	1549	0	67	2911		483.644
148	143	iid	right	1.486	6.421	left	41	-8.888	1	493	0	308	1414	1907	1571	0	142	2912		486.569
149	86	iid	left	-1.405	5.417	right	29	4.991	-1	466	0	308	1394	1860	1576	0	167	2865		489.496
150	114	iid	right	1.583	3.228	left	10	-4.674	1	326	0	306	1469	1795	1567	0	83	2799		492.377
151	173	iid	right	2.217	4.012	right	16	3.328	1	380	1	307	1414	1794	1559	0	133	2800		497.161
152	5	iid	left	-2.123	2.129	left	5	-3.169	-1	395	0	305	1488	1883	1543	0	42	2887		499.968
153	126	iid	right	1.794	4.732	left	22	-6.096	-1	626	0	307	1364	1990	1561	0	183	2995		502.869
154	117	iid	right	1.011	3.712	left	14	-2.576	1	433	0	309	1435	1868	1566	0	117	2873		505.879
155	73	iid	left	-2.056	4.699	right	22	3.118	-1	623	0	308	1366	1989	1564	0	183	2994		508.767
156	140	iid	right	2.17	6.546	left	43	-2.644	1	665	0	308	1203	1868	1577	0	358	2873		511.776
157	98	iid	left	-0.971	6.212	right	39	8.275	1	607	0	308	1222	1829	1561	0	325	2834		514.665
158	172	iid	right	1.158	4.684	right	22	3.138	1	604	0	306	1362	1966	1560	0	183	2971		517.509
159	96	iid	left	-1.995	6.028	right	36	3.041	-1	687	0	308	1255	1942	1568	0	300	2947		520.495
160	169	iid	right	1.394	3.481	right	12	5.649	1	503	0	307	1450	1953	1562	0	100	2959		523.458
161	97	iid	left	-1.346	6.31	right	40	3.058	-1	735	0	308	1229	1964	1575	0	333	2970		526.432
162	31	iid	left	-2.689	5.667	left	33	-13.897	-1	637	0	308	1293	1930	1584	0	275	2935		529.417
163	12	iid	left	-1.311	3.437	left	12	-3.281	1	734	0	308	1437	2171	1549	0	100	3177		532.368
164	35	iid	left	-2.32	5.071	left	26	-7.877	1	690	0	307	1339	2029	1570	0	217	3034		535.56
165	119	iid	right	2.377	3.329	left	11	-2.683	1	511	0	307	1452	1963	1557	0	92	2968		538.609
166	42	iid	left	-1.954	6.647	left	44	-13.663	-1	627	0	307	1175	1802	1554	0	367	2808		541.593
167	189	iid	right	2.719	5.571	right	31	10.583	1	550	1	309	1285	1835	1558	0	258	2841		544.416
168	90	iid	left	-2.17	6.546	right	43	2.644	-1	730	0	308	1185	1915	1557	0	358	2920		547.272
169	136	iid	right	1.405	5.417	left	29	-4.991	1	484	0	307	1311	1795	1566	0	242	2801		550.207
170	51	iid	left	-0.806	2.319	right	5	3.749	1	475	0	306	1505	1980	1561	0	42	2986		553.023
171	127	iid	right	1.239	4.403	left	19	-7.711	1	460	0	305	1383	1843	1555	0	158	2848		556.025
172	162	iid	right	1.311	3.437	right	12	3.281	-1	615	1	309	1461	2076	1573	0	100	3081		558.889
173	41	iid	left	-2.078	6.196	left	38	-11.804	-1	615	0	308	1225	1840	1556	0	317	2846		561.986
174	118	iid	right	1.071	3.23	left	10	-4.659	1	283	0	305	1459	1742	1557	0	83	2747		564.846
175	113	iid	right	1.892	3.745	left	14	-4.613	1	351	0	306	1428	1779	1559	0	117	2785		567.608
176	26	iid	left	-1.929	4.66	left	22	-8.105	-1	403	0	308	1367	1770	1564	0	183	2774		570.409
177	139	iid	right	0.999	5.404	left	30	-9.09	1	467	0	309	1298	1765	1563	0	250	2770		573.199
178	100	iid	right	2.251	2.722	left	8	-3.383	1	435	0	304	1485	1920	1567	0	67	2925		575.979
179	111	iid	right	0.973	3.878	left	15	-2.704	1	406	0	308	1421	1827	1561	0	125	2832		578.921
180	2	iid	left	-2.413	2.537	left	6	-6.728	1	574	0	305	1510	2084	1574	0	50	3089		581.767
181	77	iid	left	-1.239	4.403	right	19	7.711	-1	645	0	308	1405	2050	1577	0	158	3055		584.872
182	46	iid	left	-1.185	6.479	left	42	-5.232	1	638	0	306	1196	1834	1558	0	350	2840		587.944
183	187	iid	right	1.988	5.494	right	30	5.674	1	374	0	308	1294	1668	1559	0	250	2673		590.8
184	191	iid	right	2.078	6.196	right	38	11.804	-1	552	0	308	1250	1802	1582	0	317	2807		593.489
185	85	iid	left	-1.907	4.917	right	24	2.755	1	310	0	307	1333	1643	1549	0	200	2648		596.312
186	161	iid	right	1.454	3.202	right	10	2.972	1	106	1	308	1465	1571	1563	0	83	2577		598.977
187	36	iid	left	-1.917	5.864	left	35	-11.991	1	276	0	308	1269	1545	1561	1	292	2550		601.57
188	190	iid	right	2.137	6.102	right	37	2.857	1	206	0	309	1247	1453	1555	1	308	2458		604.136
189	61	iid	left	-0.973	3.878	right	15	2.704	1	296	0	309	1426	1722	1564	0	125	2727		606.61
190	22	iid	left	-1.158	4.684	left	22	-3.138	1	381	0	308	1359	1740	1557	0	183	2746		609.353
191	141	iid	right	1.575	6.045	left	37	-3.812	1	655	0	307	1223	1878	1548	0	308	2883		612.115
192	101	iid	right	0.806	2.319	left	5	-3.749	1	3947	0	308	1520	5467	1578	0	42	6473		615.016
193	33	iid	left	-2.547	5.207	left	27	-4.706	-1	497	0	309	1331	1828	1570	0	225	2833		621.505
194	11	iid	left	-1.454	3.202	left	10	-2.972	-1	343	0	308	1476	1819	1573	0	83	2824		624.354
195	194	iid	right	1.816	6.152	right	38	4.335	1	678	0	308	1227	1905	1557	0	317	2911		627.194
196	159	iid	right	1.71	2.788	right	8	5.391	1	582	0	308	1491	2073	1570	0	67	3079		630.121
197	6	iid	left	-2.375	2.81	left	8	-5.006	-1	616	0	308	1483	2099	1565	0	67	3105		633.216
198	27	iid	left	-2.389	4.145	left	17	-3.429	-1	485	1	310	1420	1905	1577	0	142	2911		636.337
199	120	iid	right	1.926	4.487	left	20	-4.387	1	455	0	308	1395	1850	1573	0	167	2856		639.264
200	4	rdw	left	-2.051	2.291	left	5	-3.295	-1	118	0	305	1490	1608	1547	0	42	2613		642.136
201	32	rdw	left	-2.179	5.057	left	26	-5.865	1	500	0	309	1332	1832	1564	0	217	2837		647.809
202	142	rdw	right	1.12	6.035	left	36	-5.179	-1	589	0	308	1240	1829	1553	0	300	2834		650.664
203	145	rdw	right	1.969	6.295	left	40	-10.722	-1	726	0	307	1220	1946	1565	0	333	2950		653.514
204	109	rdw	right	1.193	2.511	left	6	-2.767	1	579	0	308	1511	2090	1576	0	50	3095		656.482
205	144	rdw	right	1.676	6.092	left	37	-6.022	-1	673	0	308	1232	1905	1555	0	308	2910		659.593
206	10	rdw	left	-1.646	3.03	left	9	-6.579	-1	455	0	307	1475	1930	1564	0	75	2936		662.52
207	62	rdw	left	-1.05	3.553	right	13	3.169	1	490	0	305	1431	1921	1551	0	108	2925		665.468
208	112	rdw	right	1.05	3.553	left	13	-3.169	-1	526	0	308	1444	1970	1569	0	108	2975		668.41
209	146	rdw	right	1.995	6.028	left	36	-3.041	1	641	0	307	1250	1891	1567	0	300	2897		671.402
210	166	rdw	right	1.331	3.134	right	10	7.001	1	489	0	307	1469	1958	1567	0	83	2963		674.315
