# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
19	24	iid	LL	same	iid_same	left	-1.157	4.176	left	17	-2.95	-1	1	0.824	1	1
19	70	iid	LR	different	iid_different	left	-1.926	4.487	right	20	4.387	-1	1	0.358	1	1
19	182	iid	RR	same	iid_same	right	2.179	5.057	right	26	5.865	-1	1	0.177	0	0
19	131	iid	RL	different	iid_different	right	1.773	5.602	left	31	-12.73	1	0	0.78	0	1
19	23	iid	LL	same	iid_same	left	-2.217	4.012	left	16	-3.328	-1	1	0.4445	1	1
19	52	iid	LR	different	iid_different	left	-1.512	2.3	right	5	5.012	-1	1	0.248	1	1
19	106	iid	RL	different	iid_different	right	0.974	2.955	left	9	-5.179	1	0	0.085	0	1
19	193	iid	RR	same	iid_same	right	1.762	6.619	right	43	11.962	1	0	0.367	0	1
19	156	iid	RR	same	iid_same	right	2.375	2.81	right	8	5.006	1	0	0.122	0	1
19	99	iid	LR	different	iid_different	left	-1.186	6.295	right	40	3.668	-1	1	0.274	1	1
19	169	rdw	RR	same	rdw_same	right	1.394	3.481	right	12	5.649	1	0	0.3275	0	1
19	25	rdw	LL	same	rdw_same	left	-1.971	4.243	left	18	-3.981	-1	1	0.717	1	1
19	136	rdw	RL	different	rdw_different	right	1.405	5.417	left	29	-4.991	-1	1	0.376	1	1
19	43	rdw	LL	same	rdw_same	left	-1.762	6.619	left	43	-11.962	-1	1	0.858	1	1
19	137	rdw	RL	different	rdw_different	right	1.078	5.502	left	30	-5.305	1	0	0.3275	1	0
19	46	rdw	LL	same	rdw_same	left	-1.185	6.479	left	42	-5.232	-1	1	0.136	1	1
19	4	rdw	LL	same	rdw_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.059	1	1
19	165	rdw	RR	same	rdw_same	right	2.085	3.039	right	9	3.017	1	0	0.379	0	1
19	54	rdw	LR	different	rdw_different	left	-1.113	2.948	right	9	2.555	-1	1	0.413	0	0
19	139	rdw	RL	different	rdw_different	right	0.999	5.404	left	30	-9.09	-1	1	0.309	1	1
19	186	rdw	RR	same	rdw_same	right	1.917	5.864	right	35	11.991	1	0	0.375	0	1
19	8	rdw	LL	same	rdw_same	left	-1.147	2.092	left	4	-3.873	-1	1	0.3275	1	1
19	13	rdw	LL	same	rdw_same	left	-1.629	3.238	left	11	-7.675	-1	1	0.189	1	1
19	5	rdw	LL	same	rdw_same	left	-2.123	2.129	left	5	-3.169	-1	1	0.043	1	1
19	33	rdw	LL	same	rdw_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.013	1	1
19	81	rdw	LR	different	rdw_different	left	-1.773	5.602	right	31	12.73	1	0	0.32	0	1
19	31	rdw	LL	same	rdw_same	left	-2.689	5.667	left	33	-13.897	-1	1	0.125	1	1
19	59	rdw	LR	different	rdw_different	left	-1.193	2.511	right	6	2.767	-1	1	0.581	0	0
19	166	rdw	RR	same	rdw_same	right	1.331	3.134	right	10	7.001	1	0	0.201	0	1
19	103	rdw	RL	different	rdw_different	right	0.961	2.657	left	7	-2.843	-1	1	0.317	1	1
19	63	rdw	LR	different	rdw_different	left	-1.892	3.745	right	14	4.613	1	0	0.397	0	1
19	78	rdw	LR	different	rdw_different	left	-0.87	4.088	right	17	2.599	1	0	0.359	0	1
19	108	rdw	RL	different	rdw_different	right	2.027	2.567	left	7	-4.044	-1	1	0.489	1	1
19	124	rdw	RL	different	rdw_different	right	1.906	4.326	left	19	-4.242	-1	1	0.348	1	1
19	194	rdw	RR	same	rdw_same	right	1.816	6.152	right	38	4.335	1	0	0.096	0	1
19	141	rdw	RL	different	rdw_different	right	1.575	6.045	left	37	-3.812	-1	1	0.452	1	1
19	197	rdw	RR	same	rdw_same	right	2.158	6.978	right	49	5.806	1	0	0.406	0	1
