# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
26	54	rdw	LR	different	rdw_different	left	-1.113	2.948	right	9	2.555	1	0	0.576	1	1	0
26	98	rdw	LR	different	rdw_different	left	-0.971	6.212	right	39	8.275	1	0	0.714	1	1	0
26	115	rdw	RL	different	rdw_different	right	2.055	3.917	left	16	-5.82	-1	1	0.355	1	1	0
26	109	rdw	RL	different	rdw_different	right	1.193	2.511	left	6	-2.767	-1	1	0.33	1	1	0
26	199	rdw	RR	same	rdw_same	right	1.82	6.317	right	40	5.053	1	0	0.559	1	1	1
26	22	rdw	LL	same	rdw_same	left	-1.158	4.684	left	22	-3.138	-1	1	0.371	1	1	1
26	129	rdw	RL	different	rdw_different	right	2.149	4.637	left	22	-6.019	-1	1	0.432	1	1	0
26	105	rdw	RL	different	rdw_different	right	1.076	2.085	left	4	-4.474	-1	1	0.663	1	1	0
26	102	rdw	RL	different	rdw_different	right	1.512	2.3	left	5	-5.012	-1	1	0.39225	1	1	0
26	159	rdw	RR	same	rdw_same	right	1.71	2.788	right	8	5.391	1	0	0.564	1	1	1
26	9	rdw	LL	same	rdw_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.314	1	1	1
26	15	rdw	LL	same	rdw_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.3925	1	1	1
26	150	rdw	RR	same	rdw_same	right	1.672	2.125	right	5	3.182	1	0	0.3925	1	1	1
26	76	rdw	LR	different	rdw_different	left	-1.794	4.732	right	22	6.096	1	0	0.481	1	1	0
26	119	rdw	RL	different	rdw_different	right	2.377	3.329	left	11	-2.683	-1	1	0.552	1	1	0
26	71	rdw	LR	different	rdw_different	left	-1.764	4.73	right	22	2.728	1	0	0.475	1	1	0
26	90	rdw	LR	different	rdw_different	left	-2.17	6.546	right	43	2.644	1	0	0.3925	1	1	0
26	100	rdw	RL	different	rdw_different	right	2.251	2.722	left	8	-3.383	-1	1	0.431	1	1	0
26	139	rdw	RL	different	rdw_different	right	0.999	5.404	left	30	-9.09	-1	1	0.486	1	1	0
26	44	rdw	LL	same	rdw_same	left	-1.816	6.152	left	38	-4.335	-1	1	0.674	1	1	1
26	176	rdw	RR	same	rdw_same	right	1.929	4.66	right	22	8.105	1	0	0.543	1	1	1
26	142	rdw	RL	different	rdw_different	right	1.12	6.035	left	36	-5.179	-1	1	0.731	1	1	0
26	113	rdw	RL	different	rdw_different	right	1.892	3.745	left	14	-4.613	-1	1	0.51	1	1	0
26	53	rdw	LR	different	rdw_different	left	-0.961	2.657	right	7	2.843	1	0	0.335	1	1	0
26	20	rdw	LL	same	rdw_same	left	-2.263	4.205	left	18	-3.056	-1	1	0.389	1	1	1
26	30	rdw	LL	same	rdw_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.462	1	1	1
26	114	rdw	RL	different	rdw_different	right	1.583	3.228	left	10	-4.674	-1	1	0.401	1	1	0
26	172	rdw	RR	same	rdw_same	right	1.158	4.684	right	22	3.138	1	0	0.546	1	1	1
26	26	rdw	LL	same	rdw_same	left	-1.929	4.66	left	22	-8.105	-1	1	0.559	1	1	1
26	50	rdw	LR	different	rdw_different	left	-2.251	2.722	right	8	3.383	1	0	0.445	1	1	0
26	192	rdw	RR	same	rdw_same	right	1.954	6.647	right	44	13.663	1	0	0.3925	1	1	1
26	179	rdw	RR	same	rdw_same	right	1.621	4.376	right	19	14.001	1	0	0.574	1	1	1
26	184	rdw	RR	same	rdw_same	right	2.325	5.238	right	27	4.616	1	0	0.523	1	1	1
26	94	rdw	LR	different	rdw_different	left	-1.676	6.092	right	37	6.022	1	0	0.3925	1	1	0
26	95	rdw	LR	different	rdw_different	left	-1.969	6.295	right	40	10.722	1	0	0.501	1	1	0
26	186	rdw	RR	same	rdw_same	right	1.917	5.864	right	35	11.991	1	0	0.462	1	1	1
26	13	rdw	LL	same	rdw_same	left	-1.629	3.238	left	11	-7.675	-1	1	0.447	1	1	1
26	52	rdw	LR	different	rdw_different	left	-1.512	2.3	right	5	5.012	1	0	0.408	1	1	0
26	106	rdw	RL	different	rdw_different	right	0.974	2.955	left	9	-5.179	-1	1	0.312	1	1	0
26	193	rdw	RR	same	rdw_same	right	1.762	6.619	right	43	11.962	1	0	0.402	1	1	1
